	summarized	lineages	abundances	resid	coverage
12_09_24_SBDEC03_R2__E0000000__X00__241212_SG_WW__001.variants.tsv	[('XEC* (XEC.X)', 0.5992289289007691), ('BA.2.86* (BA.2.86.X)', 0.18896086004434523), ('Other', 0.08592113994501202), ('KP.3.1.1* (KP.3.1.1.X)', 0.0672926699954435), ('KP.3* (KP.3.X)', 0.05859632997986959)]	XEC.4 XEC.8 XEC.39 JN.1.18.6 XEW MC.10.1.3 KP.3.1 KP.2.18 MC.10.1.1 JN.1.53 XEK XEK.7 JN.1.16.1	0.22949300 0.22782067 0.14191526 0.13156186 0.07652733 0.05974550 0.05859633 0.04836086 0.00754717 0.00714286 0.00588565 0.00350816 0.00189528	5.413804359948899	93.29833127110992
07_29_24_ENCJUL25_R2__E0000000__X00__240801_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.6281132927189147), ('KP.3* (KP.3.X)', 0.2355842494485316), ('KP.3.1.1* (KP.3.1.1.X)', 0.123714982451795), ('Omicron', 0.012587394094934897)]	KP.2 KP.2.5 MC.1 KP.3.3.3 KP.2.2.2 LW.1 KP.3.2.3 LB.1.1 LB.1.3.4 MC.19 XEN KP.5	0.21291598 0.21291598 0.10921359 0.08995730 0.07727268 0.07281550 0.07281144 0.06714881 0.05785116 0.01450139 0.01258739 0.00000869	6.660567714489919	82.3529411764706
06_30_25_SBJUN05_R1__E0000000__X00__250205_12-30-24_WW__007.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.37405109999998376), ('LP.8.1* (LP.8.1.X)', 0.3511939000000103), ('Omicron', 0.2747550000000056)]	KP.5 XFC.2 NY.19 NW.1.5 NW.1.7 PV.3	0.35839510 0.27475500 0.21932590 0.08731410 0.04455390 0.01565600	7.930122811517996	71.12329866568572
07_07_25_PLJUN30_R1__E0000000__X00__250205_12-30-24_WW__007.variants.tsv	[('LP.8.1* (LP.8.1.X)', 0.3676047999552432), ('NB.1.8.1* (NB.1.8.1.X)', 0.26310500000235976), ('XFG* (XFG.X)', 0.2581689999963266), ('BA.2.86* (BA.2.86.X)', 0.05708700001829476), ('Other', 0.02028799999511274), ('Omicron', 0.017937199994481866), ('XEC* (XEC.X)', 0.01580899999629554)]	NY.16 NB.1.8.1 XFG NW.1.2 PQ.17 KP.2.10 XFG.5.1 NY.16.1 XFG.2 NB.1.8 XFC XEC.2.3 XFG.3.4 XDR	0.20931780 0.18240900 0.16539650 0.11411300 0.08069600 0.05708700 0.05194810 0.04417400 0.03007170 0.02017700 0.01793720 0.01580900 0.01075270 0.00011100	15.457729605079484	95.62251279135873
09_03_24_SBAUG27_R2__E0000000__X00__240906_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.47344919999709406), ('KP.3.1.1* (KP.3.1.1.X)', 0.46105699999979005), ('KP.3* (KP.3.X)', 0.06549380000168739)]	MC.21 KP.5 KP.2.3.6 KP.3.3 LB.1.3 LF.9 KP.2.3.13 KP.3 LB.1.4.1 MC.21.1 NL.18	0.45760128 0.25129720 0.10866080 0.04410010 0.03907533 0.03342620 0.03226720 0.02139370 0.00550747 0.00345572 0.00321500	6.7689784408970795	91.89044577467143
07_07_25_ENCJUL03_R1__E0000000__X00__250205_12-30-24_WW__007.variants.tsv	[('XFG* (XFG.X)', 0.3477387899984813), ('BA.2.86* (BA.2.86.X)', 0.29772260989990773), ('LP.8.1* (LP.8.1.X)', 0.1666670000026086), ('Omicron', 0.14771100000393664), ('NB.1.8.1* (NB.1.8.1.X)', 0.04016059999868261)]	JN.1.16.5 NY.16 XFC XFG.3.5.1 XFG.2 XFG.3 PQ.12 JN.1.18.6 LF.7.7.2 XFG.23	0.24921861 0.16666700 0.14771100 0.13396400 0.10316500 0.10193300 0.04016060 0.03340970 0.01509430 0.00867679	13.039568062142031	95.85325887034746
02_10_25_SBFEB04_R2__E0000000__X00__250213_SG_WW__001.variants.tsv	[('KP.3* (KP.3.X)', 0.24815099999907062), ('XEC* (XEC.X)', 0.24611793117454844), ('KP.3.1.1* (KP.3.1.1.X)', 0.20255300000086046), ('BA.2.86* (BA.2.86.X)', 0.19116400000006856), ('LP.8.1* (LP.8.1.X)', 0.11201399999924373)]	KP.3.3 KP.1.1.5 XEC.39 MC.19.1 LP.8.1.3 MC.21.1 XEC.16 PR.2 KP.3.1 MC.32 MC.8 XEC.4 XEC.8.1 NY.14	0.21848600 0.19116400 0.18580462 0.10616800 0.06534421 0.04555180 0.04477610 0.04347830 0.02966500 0.02694610 0.02388710 0.00920810 0.00632911 0.00319149	7.18716032136893	93.78657659766579
05_28_24_PLMAY19_R1__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9711537999942756), ('KP.3* (KP.3.X)', 0.02847596696549163), ('Other', 0.00037023301681026784)]	LB.1.1 JN.1.16.3 JN.1.7.4 KP.3.3.10 JN.1.39 JN.1.16 XFN	0.83441880 0.05574140 0.04340570 0.02847597 0.02345060 0.01413730 0.00037023	3.708607667013459	85.33257532689028
07_07_25_SBJUL06_R2__E0000000__X00__250725_07-25-25_WW__007.variants.tsv	[('LP.8.1* (LP.8.1.X)', 0.5608599999983638), ('XFG* (XFG.X)', 0.20857389999967518), ('BA.2.86* (BA.2.86.X)', 0.14715799999450419), ('NB.1.8.1* (NB.1.8.1.X)', 0.0834080999987615)]	LP.8.1.1 MU.5 XFG.3 PQ.10.1 NW.1.7 XFG.3.4.1	0.48840370 0.14715800 0.14535550 0.08340810 0.07245630 0.06321840	14.226073375335211	95.87666789285356
01_06_25_SBDEC31_R1__E0000000__X00__250205_01-06-25_WW__001.variants.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.6165139999983228), ('XEC* (XEC.X)', 0.21289408474141083), ('LP.8.1* (LP.8.1.X)', 0.10754699999832383), ('BA.2.86* (BA.2.86.X)', 0.06304489999803264)]	MC.17.1 MC.19.1 XEC.5 LP.8.1.5 MC.10.1.6 NF.1.3 XEC.39 MC.10.1 XEC.4 MC.23 XEC.4.1	0.34266000 0.14966700 0.12840700 0.10754700 0.06679300 0.06304490 0.03377298 0.03239400 0.03130420 0.02500000 0.01940990	5.4979201262051856	92.24492525833529
02_24_25_SBFEB18_R1__E0000000__X00__250308_SG_WW_2__001.variants.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.6508249999993247), ('LP.8.1* (LP.8.1.X)', 0.19771009998990957), ('BA.2.86* (BA.2.86.X)', 0.08495899999841798), ('KP.3* (KP.3.X)', 0.06650589999778103)]	MC.10.1.1 LP.8.1 LB.1.1 MC.45 KP.3.2.4 KP.3.3 NY.4 LP.8.1.14 MC.19.1	0.56318350 0.16482050 0.08495900 0.08459660 0.03486940 0.03163650 0.01658120 0.01630840 0.00304490	8.674671335923119	96.43179614085544
06_03_24_SBJUN02_R2__E0000000__X00__240624_2_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999999506444174)]	KP.5 MU.5 KP.2.4 LF.3.1 LF.3 KP.2.3.8 LB.1.10 LF.3.1.1 JN.1.11 JN.1.7.3 KP.2.15 NN.1	0.50576923 0.14338000 0.10657300 0.08228642 0.07286038 0.03121776 0.01649179 0.01563540 0.01435299 0.00631697 0.00412787 0.00098814	6.872532914096006	96.52877637695215
09_10_24_SBSEP03_R1__E0000000__X00__240912_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.767377099999954), ('Omicron', 0.16089010000000933), ('KP.3* (KP.3.X)', 0.07173279999994259)]	LD.1 JN.1.16.5 XEF.3 KP.3 LF.9 JN.1.16.3 LB.1.3.5 KP.2.3.13 XDY.9	0.52258100 0.15466910 0.14656500 0.07173280 0.03371000 0.02401400 0.01792890 0.01447410 0.01432510	6.120292355582538	93.24816908002542
12_02_24_SBNOV28_R2__E0000000__X00__241205_SG_WW_4__001.variants.tsv	[('XEC* (XEC.X)', 0.9701720000001389), ('KP.3.1.1* (KP.3.1.1.X)', 0.029827999999509018)]	XEC.18.3 MC.45	0.97017200 0.02982800	5.6492474088780025	93.79995318195499
09_10_24_ENCSEP02_R2__E0000000__X00__240912_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.6790449999961069), ('KP.3* (KP.3.X)', 0.32095499999995103)]	KP.2.3.8 KP.3.3 KP.3.3.10 KP.3.3.3 KP.3.3.8 KP.2.3 KP.2.3.9 KP.2.3.15 KP.2.3.7 KP.2.3.2 KP.2.3.3 KP.4.2.1 KP.4.2.6	0.48400400 0.11507300 0.06862741 0.06862731 0.06862728 0.03749568 0.03749552 0.02512661 0.02510679 0.02510642 0.02510218 0.00980452 0.00980328	2.8019234698744726	43.30334749021837
06_30_25_ENCJUN04_R1__E0000000__X00__250205_12-30-24_WW__007.variants.tsv	[('LP.8.1* (LP.8.1.X)', 0.8648649996566591), ('KP.3* (KP.3.X)', 0.08411209123865063), ('Omicron', 0.05102290504925267)]	LP.8.1 LP.8.1.4 LP.8.1.6 NY.19 KP.3.3.8 XEF.3	0.26768897 0.26692394 0.16666700 0.16358509 0.08411209 0.05102291	10.100869963150778	71.93258201518242
07_29_24_SBJUL25_R1__E0000000__X00__240801_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.5322345668298395), ('KP.3.1.1* (KP.3.1.1.X)', 0.2975819999998217), ('KP.3* (KP.3.X)', 0.16553219999934862), ('Omicron', 0.004651160000028704)]	MC.19 KP.2.3.2 KP.3.1 JN.1.16.1 KP.1.1 KP.2.2 KP.2.25 LP.1 KP.3 KP.1.1.5 LB.1.3.5 KP.3.3 KP.2.3.4 KP.2.3.6 XEL.6 MC.18.2 LR.1 MU.2.1.1	0.29342400 0.14677428 0.13491600 0.12640244 0.09249706 0.04706840 0.04507340 0.02557300 0.02043820 0.01906119 0.01279440 0.01017800 0.00844425 0.00478639 0.00465116 0.00415800 0.00284900 0.00091075	4.401758558939097	91.32194094238037
01_27_25_ENCJAN22_R2__E0000000__X00__250205_01-27-25_WW__001.variants.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.5041510000002519), ('XEC* (XEC.X)', 0.2750000000000006), ('Other', 0.14701799999999354), ('Omicron', 0.07383099999973329)]	KP.3.1.1 XEC.2.1 XEW MC.41 XEP MC.10.1 XEC.24	0.32693190 0.21569260 0.14701800 0.11111100 0.07383100 0.06610810 0.05930740	5.282277548885315	86.2221181821222
07_01_25_PLAPR15_R2__E0000000__X00__250205_12-30-24_WW__007.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.4391889999851196), ('LP.8.1* (LP.8.1.X)', 0.42862960001355715), ('KP.3.1.1* (KP.3.1.1.X)', 0.11665809998755036), ('KP.3* (KP.3.X)', 0.0155233000004958)]	LP.7 NY.16.1 MC.10 NL.5.2.1 PG.5 NY.16	0.41958440 0.41346200 0.11665810 0.01960460 0.01552330 0.01516760	7.0531623993922	78.97200949737484
5_20_24_PLMAY13_R2__E0000000__X00__240604_SG_WW__001.variants.tsv	[('KP.3* (KP.3.X)', 0.5731710012767741), ('BA.2.86* (BA.2.86.X)', 0.4268289970403846)]	KP.3 KP.3.6 JN.1.1.5 JN.1.1.10 KP.3.1	0.27695712 0.27695668 0.21341451 0.21341449 0.01925720	8.258861023479316	74.00260843393639
07_08_24_PLJUL03_R2__E0000000__X00__240712_2_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.71599499904221), ('KP.3* (KP.3.X)', 0.2030842601913065), ('KP.3.1.1* (KP.3.1.1.X)', 0.08069689965900576), ('Omicron', 0.00022383906541255177)]	LB.1.1 LB.1.8 KP.3.3 KP.2.3.12 MC.23 LR.1 LU.2 KP.2.19 KP.2.3.13 KP.3.1 MC.21 KP.3.2.3 KP.2.2.2 KP.3.3.10 KP.2.2 XEM	0.21602636 0.18219700 0.15056333 0.12990714 0.06208900 0.04803900 0.04196680 0.04080220 0.03487410 0.02835610 0.01860790 0.01702800 0.01515030 0.00713683 0.00703210 0.00022384	6.9175420222485355	97.17085242283383
12_23_24_ENCDEC19_R1__E0000000__X00__250205_12-23-24_WW__001.variants.tsv	[('XEC* (XEC.X)', 0.5351249999822142), ('KP.3.1.1* (KP.3.1.1.X)', 0.2881649999983508), ('LP.8.1* (LP.8.1.X)', 0.12903199999978346), ('BA.2.86* (BA.2.86.X)', 0.04767799999256878)]	XEC.30 XEC.4 PR.2 MC.28 KP.2.10 XEC.32 MC.1.1 MC.10.1.1 MC.8.1 PA.4 MC.1.4 MC.24 MC.24.1 MC.10 XEC.33 MC.24.2 XEC.28 XEC.39	0.33053451 0.14343370 0.12903200 0.05807590 0.04767800 0.04761900 0.04245280 0.03933120 0.03857540 0.02958610 0.02919210 0.01705989 0.01659411 0.01151650 0.01076720 0.00578100 0.00273224 0.00003835	4.80284258777139	92.49908035983012
07_22_24_PLJUL16_R2__E0000000__X00__240729_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.6183397004584341), ('KP.3.1.1* (KP.3.1.1.X)', 0.25932799779506055), ('KP.3* (KP.3.X)', 0.12233230039995233)]	MC.23 LR.2 JN.1.11 KP.2 KP.2.15 KP.3.3.3 KP.2.3.13 KP.3.5 LW.1.2 KP.2.3.2 KP.2.3.6 KP.2.19	0.25932800 0.18289100 0.17488400 0.11809632 0.08486850 0.07901700 0.03155750 0.02660750 0.01670780 0.01349490 0.01085060 0.00169688	9.043175349613104	97.32468314215964
01_06_25_ENCDEC30_R1__E0000000__X00__250205_01-06-25_WW__001.variants.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.43619799999971814), ('XEC* (XEC.X)', 0.24706399999995846), ('BA.2.86* (BA.2.86.X)', 0.19442200000075593), ('LP.8.1* (LP.8.1.X)', 0.11281199999916143), ('KP.3* (KP.3.X)', 0.009503999999982218)]	JN.1.16.5 XEC.33 MC.19.1 MC.42 MC.24.2 MC.24 XEC.19 MC.10 NY.3 MC.10.1.3 MC.10.1 LP.8.1.6 LP.8.1 XEC.4.1 NY.3.5 MC.10.1.8 KP.3.1 XEC.32 XEC.39 XEC.30 MC.8.1 XEC.32.2 NY.8 XEC.13	0.19442200 0.14819400 0.10010599 0.08222810 0.07205200 0.06995700 0.05287360 0.03494290 0.03460150 0.03120500 0.02886140 0.02832228 0.02829940 0.02147610 0.01803010 0.01239670 0.00950400 0.00752714 0.00531800 0.00531732 0.00444891 0.00403226 0.00355872 0.00232558	5.689396110845326	93.08096177641039
06_30_25_PLJUN10_R2__E0000000__X00__250205_12-30-24_WW__007.variants.tsv	[('LP.8.1* (LP.8.1.X)', 0.4679740000026338), ('NB.1.8.1* (NB.1.8.1.X)', 0.16819000003830017), ('Other', 0.12931199995378606), ('KP.3* (KP.3.X)', 0.10066999999705442), ('BA.2.86* (BA.2.86.X)', 0.08640439999416387), ('XFG* (XFG.X)', 0.04744959999988202)]	LP.8.1.2 PQ.17 NY.7 NB.1.2 KP.3.3 JN.1.16.5 XFG	0.32790100 0.16819000 0.14007300 0.12931200 0.10067000 0.08640440 0.04744960	15.208823481675605	92.75657960739726
12_16_24_SBDEC12_R2__E0000000__X00__241219_SG_WW__001.variants.tsv	[('KP.3.1.1* (KP.3.1.1.X)', 0.590386999995213), ('XEC* (XEC.X)', 0.28752899999422565), ('KP.3* (KP.3.X)', 0.07958300000084739), ('Other', 0.02239500000323467), ('BA.2.86* (BA.2.86.X)', 0.020105999998330553)]	XEC.39 KP.3.1.1 MC.38 MC.10.1 MC.10 KP.3.3 MC.10.1.1 MC.15 MC.6 NP.2 MC.17 XEW JN.1.16.5 XEC.1 MC.23 XEC.32 XEC.30	0.26630701 0.15562610 0.11165700 0.10647910 0.05125800 0.04896100 0.04827590 0.04459060 0.03254180 0.03062200 0.02928780 0.02239500 0.02010600 0.01790940 0.01067070 0.00330094 0.00001165	8.517919225026326	97.86309065980002
06_30_25_ENCMAY23_R1__E0000000__X00__250205_12-30-24_WW__007.variants.tsv	[('KP.3* (KP.3.X)', 0.3184935000022451), ('Omicron', 0.29279650000009383), ('LP.8.1* (LP.8.1.X)', 0.2426867141812359), ('BA.2.86* (BA.2.86.X)', 0.10685278578712377), ('XEC* (XEC.X)', 0.03917050000004608)]	KP.3.6 KP.3 XFC XFC.3 LP.8 LP.8.1 LP.8.1.6 XEC NY.19	0.15924743 0.15924607 0.14639871 0.14639779 0.10685279 0.10685061 0.10685060 0.03917050 0.02898550	7.106303332518357	76.74815235929505
07_15_24_PLJUL09_R1__E0000000__X00__240718_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.6666668515626707), ('KP.3* (KP.3.X)', 0.2659809945294344), ('KP.3.1.1* (KP.3.1.1.X)', 0.06735198517026306), ('Omicron', 1.2110720791703412e-07)]	JN.1.11.1 KP.2.3.3 JN.1.52 KP.3.3.10 KP.3 KP.3.6 JN.1.13 LF.9 KP.3.1.1 KP.3.2 KP.1 MC.23 KP.3.1 KP.2.3.6 KP.2.3.4 MC.22 KP.3.3 MC.13 MC.13.2 NN.1 KP.3.3.3 KP.2.3.2 NL.23 LB.1.9 XEE	0.25783135 0.15561674 0.12706052 0.09831200 0.06005937 0.06005933 0.04627680 0.03296699 0.03191170 0.02895110 0.02472950 0.01913880 0.01109421 0.01042750 0.00752587 0.00704225 0.00574599 0.00462964 0.00462959 0.00330000 0.00175900 0.00071389 0.00021735 0.00000035 0.00000012	4.55033587906993	92.21817208975688
07_01_25_ENCAPR25_R1__E0000000__X00__250205_12-30-24_WW__007.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.5454550000000185), ('LP.8.1* (LP.8.1.X)', 0.4545449999999509)]	NY.16.1 LP.1 LP.7 LP.1.2 KP.1.1.3 NY.16 NY.7 NY.7.1	0.21284000 0.13637635 0.13636147 0.13636146 0.13635572 0.12644600 0.05763011 0.05762889	6.407612164956921	59.03421061431963
07_08_24_SBJUL07_R2__E0000000__X00__240712_2_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9566293467953126), ('KP.3* (KP.3.X)', 0.016755499998068638), ('Omicron', 0.014165399999185363), ('KP.3.1.1* (KP.3.1.1.X)', 0.012307399999550633), ('A', 7.79999996183976e-05), ('Other', 6.435319983291192e-05)]	JN.1.40 KP.2 JN.1.11 JN.1.16.1 KP.2.3.4 LB.1.3.5 KP.2.3 LB.1 XEE MC.19 KP.3.3 LB.1.3.1 LF.10 LB.1.7.3 KP.3.2 KP.2.8 LB.1.10 MJ.2.1 KS.1.5 A.2.5.3 XDV.1.7.2 NL.4	0.65735329 0.11065484 0.03899135 0.02807475 0.02709590 0.02284020 0.02202500 0.02106300 0.01416540 0.01230740 0.01222720 0.01114054 0.00771616 0.00617284 0.00452830 0.00197461 0.00123916 0.00015455 0.00008890 0.00007800 0.00006435 0.00004426	8.91522602579968	98.02360967127044
10_21_24_SBOCT20_R1__E0000000__X00__241101_SG_WW_2__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9999999999950948)]	JN.11 JN.15 JN.16 JN.3.1 JN.3.3 JN.8 JN.6 JN.3 JN.1.8.1 JN.1.8.2 JN.1.8.4 JN.1.9.1 JN.1.42.2 JN.1.45 JN.1.46 JN.1.9.2 JN.1.6.1 JN.1.58.3 JN.1.32.1 JN.1.64.1 JN.1.58.2 JN.1.42 JN.1.18 JN.1.1 JN.1.32 JN.1.58 JN.1.8 JN.1.20 JN.1.56 JN.1 JN.1.37 JN.1.68 JN.1.6 JN.1.53 JN.1.9 JN.1.60 JN.1.67 JN.1.15 JN.1.28 JN.1.59 JN.1.64 JN.1.34 JN.1.21 JN.1.40 MZ.4	0.08333337 0.08333337 0.08333337 0.08333337 0.08333337 0.08333337 0.08333337 0.08333337 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00915219 0.00385424	3.8331955926037065	18.09851854328997
02_03_25_SBJAN30_R2__E0000000__X00__250207_SG_WW__001.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.40321899997918764), ('LP.8.1* (LP.8.1.X)', 0.29937100000147254), ('XEC* (XEC.X)', 0.28289500002613305), ('KP.3* (KP.3.X)', 0.014514999957035516)]	LP.8 LP.8.1.10 XEC.4 XEC LF.3 NY.19 KP.3.3	0.34128600 0.24808000 0.19928800 0.08360700 0.06193300 0.05129100 0.01451500	3.671774237132525	84.58348660669498
